harm	voice4	voice3	voice2	voice1	beat	meter	onset_strength	beat_strength	LABEL	similarity
.	4r	4r	4r	8.e-	3	M3/4	1.0	strong beat	1.0	0.0
.	4r	4r	4r	16g	3.75	M3/4	1.0	off beat	0.0	0.5
I	4E-	4e-	4e- 4G	4b-	1	M3/4	4.0	strong beat	1.0	0.5
I	4r	4r	4r	4b-	2	M3/4	0.0	weak beat	0.0	0.5
I	4e-	[4b-	4g	4ee-	3	M3/4	3.0	strong beat	0.0	0.2857142857142857
V7c	4f	4b-]	4a-	4dd	1	M3/4	3.0	strong beat	1.0	0.4
V7c	4r	4r	4r	4b-	2	M3/4	0.0	weak beat	0.0	0.5
V7c	4f	[4b-	4a-	8.b-	3	M3/4	2.0	strong beat	0.0	0.8571428571428571
V7c	4f	[4b-	4a-	16dd	3.75	M3/4	1.0	off beat	0.0	0.2857142857142857
I	4e-	4b-]	4g	4ee-	1	M3/4	3.0	strong beat	1.0	0.5
I	4r	4r	4r	4ee-	2	M3/4	0.0	weak beat	0.0	0.5
I	4e-	[4b-	4g	4gg	3	M3/4	4.0	strong beat	0.0	0.2857142857142857
V7b	2d	2b-]	2f	2aa-	1	M3/4	3.0	strong beat	1.0	0.6666666666666666
V7b	4DD	4D	4A-	4A-	3	M3/4	3.0	strong beat	0.0	0.0
I	4EE-	4E-	4G	4G	1	M3/4	3.0	strong beat	1.0	0.0
I	4FF	4F	4A-	4A-	2	M3/4	3.0	weak beat	0.0	0.0
I	4GG	4G	4B-	4B-	3	M3/4	3.0	strong beat	0.0	0.0
IV[I]	4AA-	4A-	4c	4c	1	M3/4	3.0	strong beat	1.0	0.0
IV[I]	4BB-	4B-	4d	4d	2	M3/4	3.0	weak beat	0.0	0.0
IV[I]	4C	4c	4e-	4e-	3	M3/4	3.0	strong beat	0.0	0.0
IV[iib]	4AA-	4A-	2f	2f	1	M3/4	3.0	strong beat	1.0	0.6666666666666666
IV[iib]	4FF	4F	2f	2f	2	M3/4	2.0	weak beat	0.0	0.0
V	4BB-	4B-	8.d	8.d	3	M3/4	3.0	strong beat	1.0	0.6666666666666666
V	4BB-	4B-	16B-	16B-	3.75	M3/4	0.0	off beat	0.0	0.0
I	2EE-	4E-	4e-	4e-	1	M3/4	3.0	strong beat	1.0	0.6666666666666666
I	4r	4e-	4g	8.g	3	M3/4	1.0	strong beat	0.0	1.0
I	4r	4e-	4g	16e-	3.75	M3/4	0.0	off beat	0.0	0.0
Vb	2.r	2d	2f	4b-	1	M3/4	3.0	strong beat	1.0	1.0
Vb	2.r	2d	2f	4b-	2	M3/4	0.0	weak beat	0.0	0.0
Lt	2.r	4c	4e-	8.ee-	3	M3/4	3.0	strong beat	1.0	0.8
Lt	2.r	4c	4e-	16a	3.75	M3/4	1.0	off beat	0.0	0.0
V	2.r	2B-	2d	4b-	1	M3/4	3.0	strong beat	1.0	1.0
V	2.r	2B-	2d	4b-	2	M3/4	0.0	weak beat	0.0	0.0
