voice4	voice3	voice2	voice1	harm	beat	meter	onset_strength	beat_strength	LABEL	similarity
8F\L	8f/L	8a/L	2.cc\	I	1	M4/4	4.0	strong beat	1.0	1.0
8F\	8f/	8a/	2.cc\	I	1.5	M4/4	0.0	off beat	0.0	1.0
8F\	8f/	8a/	2.cc\	I	2	M4/4	0.0	weak beat	0.0	1.0
8F\J	8f/J	8a/J	2.cc\	I	2.5	M4/4	0.0	off beat	0.0	1.0
8F\L	8f/L	8a/L	2.cc\	I	3	M4/4	0.0	strong beat	0.0	1.0
8F\	8f/	8a/	2.cc\	I	3.5	M4/4	0.0	off beat	0.0	0.8
8F\	8f/	8a/	4ff\	I	4	M4/4	1.0	weak beat	0.0	1.0
8F\J	8f/J	8a/J	4ff\	I	4.5	M4/4	0.0	off beat	0.0	0.3333333333333333
1C	[1g	[1b-	8ff\L	V7	1	M4/4	3.0	strong beat	1.0	0.75
1C	[1g	[1b-	8ee\J	V7	1.5	M4/4	1.0	off beat	0.0	1.0
1C	[1g	[1b-	2ee\	V7	2	M4/4	0.0	weak beat	0.0	0.8571428571428571
1C	[1g	[1b-	16cc\LK	V7	4	M4/4	1.0	weak beat	0.0	1.0
1C	[1g	[1b-	8.ccc\J	V7	4.25	M4/4	1.0	off beat	0.0	0.8571428571428571
2.E\	2.g/]	2.b-\]	16ccc\LL	V65	1	M4/4	1.0	strong beat	1.0	0.8571428571428571
2.E\	2.g/]	2.b-\]	16bb-\	V65	1.25	M4/4	1.0	off beat	0.0	0.8571428571428571
2.E\	2.g/]	2.b-\]	16aa\	V65	1.5	M4/4	1.0	off beat	0.0	0.8571428571428571
2.E\	2.g/]	2.b-\]	16gg\JJ	V65	1.75	M4/4	1.0	off beat	0.0	0.8571428571428571
2.E\	2.g/]	2.b-\]	16ff\LL	V65	2	M4/4	1.0	weak beat	0.0	0.8571428571428571
2.E\	2.g/]	2.b-\]	16ee\	V65	2.25	M4/4	1.0	off beat	0.0	0.8571428571428571
2.E\	2.g/]	2.b-\]	16dd\	V65	2.5	M4/4	1.0	off beat	0.0	0.75
2.E\	2.g/]	2.b-\]	16cc\JJ	V65	2.75	M4/4	1.0	off beat	0.0	1.0
2.E\	2.g/]	2.b-\]	8cc\L	V65	3	M4/4	0.0	strong beat	0.0	0.75
2.E\	2.g/]	2.b-\]	8cc#\J	V65	3.5	M4/4	1.0	off beat	0.0	0.75
4E\	4g/	8.b-/L	8.dd\L	V65	4	M4/4	1.0	weak beat	0.0	0.8571428571428571
4E\	4g/	16g/Jk	16b-\Jk	V65	4.75	M4/4	0.0	off beat	0.0	0.3333333333333333
4F\	4c/	4f/	16b-/LL	I	1	M4/4	3.0	strong beat	1.0	0.6666666666666666
4F\	4c/	4f/	16a/	I	1.25	M4/4	1.0	off beat	0.0	0.6666666666666666
4F\	4c/	4f/	16g/	I	1.5	M4/4	1.0	off beat	0.0	0.8
4F\	4c/	4f/	16f/JJ	I	1.75	M4/4	0.0	off beat	0.0	0.6666666666666666
8r	8r	8r	[8f/L	I	2	M4/4	0.0	weak beat	0.0	0.5
8B-\	8F\	8d/	8f/J]	IV	2.5	M4/4	3.0	off beat	1.0	1.0
16B-\LL	4F\	16d/LL	2r	IV	3	M4/4	0.0	strong beat	0.0	0.3333333333333333
16A\	4F\	16c/	2r	IV	3.25	M4/4	2.0	off beat	0.0	0.3333333333333333
16G\	4F\	16B-/	2r	IV	3.5	M4/4	2.0	off beat	0.0	0.4
16F\JJ	4F\	16A/JJ	2r	IV	3.75	M4/4	1.0	off beat	0.0	0.4
8E\L	8C\L	16A\LL	2r	V7	4	M4/4	2.0	weak beat	1.0	0.6666666666666666
8E\L	8C\L	16G\	2r	V7	4.25	M4/4	1.0	off beat	0.0	0.6666666666666666
8C\J	8E\J	16A\	2r	V7	4.5	M4/4	1.0	off beat	0.0	0.6666666666666666
8C\J	8E\J	16B-\JJ	2r	V7	4.75	M4/4	1.0	off beat	0.0	0.3333333333333333
8FF/L	8F/L	8A\L	[2.cc\	I	1	M4/4	4.0	strong beat	1.0	1.0
8F/	8f/	8a\	[2.cc\	I	1.5	M4/4	2.0	off beat	0.0	1.0
8F/	8f/	8a\	[2.cc\	I	2	M4/4	0.0	weak beat	0.0	1.0
8F/J	8f/J	8a\J	[2.cc\	I	2.5	M4/4	0.0	off beat	0.0	1.0
8F\L	8f/L	8a/L	[2.cc\	I	3	M4/4	0.0	strong beat	0.0	1.0
8F\	8f/	8a/	[2.cc\	I	3.5	M4/4	0.0	off beat	0.0	1.0
